port_locode,country_code,location_code,port_name,function,status,coordinates
ARRGL,AR,RGL,Río Gallegos,1--4----,AI,5138S 06913W
ARRIC,AR,RIC,Rio Cullen,1-------,RL,5248S 06811W
ARRIV,AR,RIV,Rivadavia,1----6--,RL,3311S 06828W
ARROC,AR,ROC,Puerto Ingeniero M. Rocca,1-------,RL,3451S 05756W
ARROS,AR,ROS,Rosario,12345---,AI,3257S 06039W
ARRSF,AR,RSF,Resinfor,1-------,RL,3239S 06044W
ARRWO,AR,RWO,Rawson,123-----,RL,4318S 06506W
ARRZA,AR,RZA,Santa Cruz,1--4----,AI,5001S 06825W
ARSAE,AR,SAE,San Antonio Este,1-------,RL,4048S 06444W
ARSAL,AR,SAL,Salto,1----6--,RL,
ARSAN,AR,SAN,Santa Ana,1-------,RL,2720S 05535W
ARSCA,AR,SCA,San Carlos,1----6--,RL,3346S 06902W
ARSFE,AR,SFE,San Fernando,1-------,RL,
ARSFN,AR,SFN,Santa Fe,1234----,AI,3136S 06041W
ARSIG,AR,SIG,San Ignacio,1-------,RL,2716S 05534W
ARSLO,AR,SLO,San Lorenzo,1-------,AI,
ARSMA,AR,SMA,San Martin,1-------,RL,3243S 06044W
ARSMR,AR,SMR,San Martin,1----6--,RL,3304S 06828W
ARSNS,AR,SNS,San Nicolás de los Arroyos,1234----,AI,3320S 06014W
ARSPD,AR,SPD,San Pedro,1-3-----,RL,3341S 05910W
ARSSJ,AR,SSJ,San Salvador de Jujuy,123-5---,RL,2411S 06518W
ARSSN,AR,SSN,San Sebastián,1-------,AI,5318S 06828W
ARSTA,AR,STA,Santa Rosa,1----6--,RL,3315S 06809W
ARTIM,AR,TIM,Timbúes,123-----,AM,3238S 06047W
ARTUC,AR,TUC,Tucumán,1--4----,AI,2649S 06513W
ARTUN,AR,TUN,Tunuyan,1----6--,RL,3334S 06901W
ARULA,AR,ULA,San Julian,1--4----,AI,4918S 06743W
ARURD,AR,URD,Urdurrain,1-3-----,RL,3241S 05853W
ARUSH,AR,USH,Ushuaia,1--4----,AI,5448S 06818W
ARVCN,AR,VCN,Villa Constitución,123-----,AI,3314S 06020W
ARVHE,AR,VHE,Villa Hernandarias,1-------,RL,3114S 05959W
ARVLO,AR,VLO,Vicente López,123-----,RL,3431S 05829W
ARVMD,AR,VMD,Villa Mercedes,1----6--,RL,
ARVTT,AR,VTT,Villa del Totoral,1----6--,RL,
