country_code,country_name,year,month,risk_month,conflict_index_real,governance_stability_score,governance_fragility_risk,sanctions_risk,trade_restriction_risk,geo_risk_score_real
,Mayotte,2022,8,2022-08-01,0.19415798436634346,0.06309494121172957,0.9369050587882705,0.1,0.1,0.346889458443605
,Mongolia,2022,8,2022-08-01,0.10470523508507806,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3111083587310989
,Morocco,2022,8,2022-08-01,0.36438903781892956,0.06309494121172957,0.9369050587882705,0.1,0.1,0.41498187982463947
,Mozambique,2022,8,2022-08-01,0.47171874790360907,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4579137638585113
,Myanmar,2022,8,2022-08-01,0.8315732702090296,0.06309494121172957,0.9369050587882705,0.1,0.1,0.6018555727806795
,Namibia,2022,8,2022-08-01,0.13212394099881156,0.06309494121172957,0.9369050587882705,0.1,0.1,0.32207584109659226
,Nepal,2022,8,2022-08-01,0.44007779713406303,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4452573835506929
,New Caledonia,2022,8,2022-08-01,0.13791302886030216,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3243914762411885
,New Zealand,2022,8,2022-08-01,0.25591004295838476,0.06309494121172957,0.9369050587882705,0.1,0.1,0.37159028188042154
,Niger,2022,8,2022-08-01,0.48722481930622846,0.06309494121172957,0.9369050587882705,0.1,0.1,0.46411619241955904
,Nigeria,2022,8,2022-08-01,0.6886634189953954,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5446916322952258
,North Korea,2022,8,2022-08-01,0.22346797071048827,0.06309494121172957,0.9369050587882705,0.1,0.1,0.35861345298126296
,Pakistan,2022,8,2022-08-01,0.6650518484580815,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5352470040803002
,Papua New Guinea,2022,8,2022-08-01,0.37632454304222557,0.06309494121172957,0.9369050587882705,0.1,0.1,0.41975608191395786
,Philippines,2022,8,2022-08-01,0.5178809911315563,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4763786611496902
,Qatar,2022,8,2022-08-01,0.11433885899128479,0.06309494121172957,0.9369050587882705,0.1,0.1,0.31496180829358156
,Republic of Congo,2022,8,2022-08-01,0.0,0.06309494121172957,0.9369050587882705,0.1,0.1,0.2692262646970676
,Reunion,2022,8,2022-08-01,0.18140901511429333,0.06309494121172957,0.9369050587882705,0.1,0.1,0.341789870742785
,Rwanda,2022,8,2022-08-01,0.08465867180822151,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3030897334203563
,Senegal,2022,8,2022-08-01,0.23089715715408576,0.06309494121172957,0.9369050587882705,0.1,0.1,0.361585127558702
,Sierra Leone,2022,8,2022-08-01,0.31457825726621746,0.06309494121172957,0.9369050587882705,0.1,0.1,0.39505756760355465
,Somalia,2022,8,2022-08-01,0.6777454915865534,0.06309494121172957,0.9369050587882705,0.1,0.1,0.540324461331689
,South Africa,2022,8,2022-08-01,0.5271603393485035,0.06309494121172957,0.9369050587882705,0.1,0.1,0.48009040043646906
,South Korea,2022,8,2022-08-01,0.4792220087005483,0.06309494121172957,0.9369050587882705,0.1,0.1,0.460915068177287
,South Sudan,2022,8,2022-08-01,0.5667825462132893,0.06309494121172957,0.9369050587882705,0.1,0.1,0.49593928318238334
,Sri Lanka,2022,8,2022-08-01,0.36080455045155313,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4135480848776889
,Sudan,2022,8,2022-08-01,0.5359556422334391,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4836085215904433
,Taiwan,2022,8,2022-08-01,0.35614223340904205,0.06309494121172957,0.9369050587882705,0.1,0.1,0.41168315806068445
,Tanzania,2022,8,2022-08-01,0.16893746928961464,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3368012524129135
,Thailand,2022,8,2022-08-01,0.40091314767640973,0.06309494121172957,0.9369050587882705,0.1,0.1,0.42959152376763154
,Togo,2022,8,2022-08-01,0.19121694682130203,0.06309494121172957,0.9369050587882705,0.1,0.1,0.34571304342558845
,Tunisia,2022,8,2022-08-01,0.32582963107192886,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3995581171258392
,Turkey,2022,8,2022-08-01,0.5802849224361245,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5013402336715175
,Uganda,2022,8,2022-08-01,0.376974611370969,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4200161092454553
,United Arab Emirates,2022,8,2022-08-01,0.10037799236323024,0.06309494121172957,0.9369050587882705,0.1,0.1,0.30937746164235974
,Vietnam,2022,8,2022-08-01,0.07098453950561165,0.06309494121172957,0.9369050587882705,0.1,0.1,0.2976200804993123
